0,11881,11879,11938
1,15983,15984,43507
2,15867,43394,15863
3,15719,15722,15706
4,17099,44387,44388
5,12569,34540,34519
6,13133,15517,12577
7,16838,44195,44197
8,519,33995,11469
9,43984,43979,16638
10,44076,44073,16716
11,34471,34444,34331
12,12856,45035,45037
13,11696,11701,11686
14,12765,44868,44867
15,18889,42772,23847
16,16071,43613,16066
17,134,22197,22174
18,26974,26977,40956
19,15531,15524,15484
20,16291,43730,16299
21,11716,11724,11711
22,2816,35982,2822
23,30829,30827,30845
24,35808,35807,2668
25,11870,11867,11880
26,24987,36808,25107
27,25310,25294,25304
28,36167,12375,37812
29,20607,19225,31933
30,25190,25200,25187
31,3042,36136,3051
32,13182,3095,36179
33,2953,2940,2930
34,12385,12382,12396
35,12288,12286,12300
36,20917,20904,20883
37,32432,32451,14362
38,2194,2182,2205
39,44937,17106,12821
40,2108,2213,2222
41,14730,31006,31013
42,33911,30207,14766
43,25079,25084,25104
44,34505,34435,34290
45,31198,31200,24026
46,34969,34431,34505
47,11976,11968,11989
48,2438,2434,2416
49,34243,34253,14909
