0,15408,15405,69755
1,85131,85127,46841
2,84511,46126,84516
3,84586,84594,46177
4,46805,46820,46750
5,85774,85776,85760
6,49659,49655,49641
7,85220,85224,46669
8,71915,71917,71890
9,43290,56106,43296
10,74469,69314,69310
11,51745,51765,51743
12,43034,43030,42306
13,73648,73656,14991
14,42273,42276,42810
15,68929,68927,68908
16,14273,14283,14066
17,74520,51049,74519
18,74030,74026,74015
19,57093,44367,57097
20,73315,73304,68747
21,37645,37642,37626
22,74142,74135,72083
23,49694,49661,49687
24,42545,42534,42525
25,69643,69652,69662
26,42540,42535,42527
27,42065,42073,42057
28,42912,42899,42905
29,74671,74681,51213
30,53018,53013,52957
31,56478,43704,43703
32,75196,24327,24321
33,58203,58199,16919
34,62395,62380,62402
35,24504,24493,24518
36,44013,66051,55107
37,63811,63818,63802
38,75154,75159,75170
39,58685,58676,58666
40,17910,17903,17916
41,14121,14129,14109
42,58907,58909,44801
43,58314,58321,58306
44,18451,18442,18456
45,74317,74315,74336
46,75176,75180,58009
47,26567,76676,46881
48,39995,39983,40006
49,58722,23994,58728
